시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
둘리뮤지엄,공립,서울특별시 도봉구 시루봉로 1길 6,,37.65243153,127.0276397,02-990-2200,도봉구,doolymuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,5000,5000,5000,,,,02-990-2200,도봉구,2017-12-31
서대문자연사박물관,공립,서울특별시 서대문구 연희로 32길 51,,37.57675252,126.9378582,02-330-8899,서대문구,http://namu.sdm.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,6000,3000,2000,,,,02-330-8899,서대문구,2017-12-31
서대문형무소역사관,공립,서울특별시 서대문구 통일로251,,37.57244171,126.9595412,02-360-8590,서대문구,www.sscmc.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,3000,1500,1000,,,,02-360-8590,서대문구,2017-12-31
서울교육박물관,공립,서울특별시 종로구 북촌로 5길 48,,37.58103147,126.983694,02-2011-5780,서울특별시특별시교육청,http://edumuseum.sen.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2011-5780,서울특별시특별시교육청,2017-12-31
서울상상나라,공립,서울특별시 광진구 능동로 216,,37.54945787,127.0862609,02-6450-9500,서울특별시특별시,www.seoulchildrensmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,4000,4000,4000,,,,02-6450-9500,서울특별시특별시,2017-12-31
서울약령시한의약박물관,공립,서울특별시 동대문구 약령중앙로26,,37.58047191,127.0373165,02-969-9241,동대문구청,http://kmedi.ddm.go.kr(서울특별시한방진흥센터),,0:00,0:00,0:00,0:00,홈페이지참고,유료,,,,,,02-969-9241,동대문구청,2017-12-31
서울역사박물관,공립,서울특별시 종로구 새문안로 55(신문로2가 2-1),,37.57087947,126.9688292,02-724-0274,서울특별시특별시,www.museum.seoul.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-724-0274,서울특별시특별시,2017-12-31
성북선잠박물관,공립,서울특별시 성북구 성북로 96(성북동),,37.59322963,126.9982179,02-744-0027,서울특별시특별시 성북구청,http://museum.sb.go.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,1000,500,300,,,,02-744-0027,서울특별시특별시 성북구청,2018-06-20
손기정기념관,공립,서울특별시 중구 손기정로 101,,37.55562546,126.9638899,02-364-1936,서울특별시특별시 중구청,www.sonkeechung.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-364-1936,서울특별시특별시 중구청,2017-12-31
수도박물관,공립,서울특별시 성동구 왕십리로 27,,37.64033477,126.9380085,02-3146-5936,서울특별시특별시,http://arisumuseum.seoul.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3146-5936,서울특별시특별시,2017-12-31
은평역사한옥박물관,공립,서울특별시 은평구 연서로50길 8,,37.58318496,126.9889549,02-351-8524,서울특별시특별시 은평구,museum.ep.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,1000,500,500,,,,02-351-8524,서울특별시특별시 은평구,2017-12-31
종로구립 고희동 미술자료관,공립,서울특별시 종로구 창덕궁 5길 40,,37.57126473,127.0350421,02-2148-4165,종로구청,없음,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2148-4165,종로구청,2017-12-31
청계천박물관,공립,서울특별시 성동구 청계천로 530,,37.5154282,127.1208007,02-2286-3410,서울특별시특별시,www.cgcm.museum.seoul.k　,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2286-3410,서울특별시특별시,2017-12-31
한성백제박물관,공립,서울특별시 송파구 위례성대로 71,,37.56787164,126.8510306,02-2152-5800,서울특별시특별시,baekjemuseum.seoul.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2152-5800,서울특별시특별시,2017-12-31
허준박물관,공립,서울특별시 강서구 허준로 87,,37.58160503,126.9852494,02-3661-8686,강서구청,www.heojunmuseum.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,1000,500,500,,,,02-3661-8686,강서구청,2017-12-31
가회민화박물관,사립,서울특별시 종로구 북촌로 52,,37.48766827,127.0657421,02-741-0466,최진옥,http://www.gahoemuseum.org/new/,,0:00,0:00,0:00,0:00,홈페이지참고,2000,1000,1000,,,,02-741-0466,최진옥,2017-12-31
"경기여자고등학교 
경운박물관",사립,서울특별시 강남구 삼성로 29,,37.5596784,126.9632021,02-3463-1336,"경기여자고등학교 동창회
(김찬숙 경운회 회장)",www.kwmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3463-1336,"경기여자고등학교 동창회
(김찬숙 경운회 회장)",2017-12-31
고촌이종근기념관,사립,서울특별시 서대문구 충정로 8,,37.47375026,127.022282,02-365-6940,종근당고촌재단,www.kochonhall.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-365-6940,종근당고촌재단,2017-12-31
관문사 성보 박물관,사립,서울특별시 서초구 바우뫼로7길111,,37.55326331,126.9298387,02-3460-5300,천태종관문사,www.gwanmunsa.org　,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3460-5300,천태종관문사,2017-12-31
근현대디자인박물관,사립,서울특별시 마포구 와우산로 30길 36 ,,37.55361879,126.8507495,070-7010-4346,박암종,www.designmuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,5000,4000,4000,,,,070-7010-4346,박암종,2017-12-31
기생충박물관,사립,서울특별시 강서구 화곡로 333,,37.60035632,126.9558572,02-2601-3278,(사)한국건강관리협회,http://www.parasite.or.kr/ ,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2601-3278,(사)한국건강관리협회,2018-05-21
김달진미술자료박물관,사립,서울특별시 종로구 홍지문1길 4,,37.58369627,127.0037149,02-730-6216,"김달진, 최명자",www.daljinmuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-730-6216,"김달진, 최명자",2017-12-31
꼭두박물관,사립,서울특별시 종로구 동숭길 122,,37.5664602,126.9677352,02-766-3315,㈜동숭아트센터,www.kokdumuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-766-3315,㈜동숭아트센터,2017-12-31
농협 농업박물관,사립,서울특별시 중구 새문안로 16,,37.61877901,126.9325193,02-2080-5727,농협중앙회,WWW.agrimuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2080-5727,농협중앙회,2017-12-31
세계다문화박물관,사립,서울특별시 은평구 불광로 135,,37.52395048,127.0356033,02-323-6848,김윤태,www.multiculturemuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,7000,6000,6000,,,,02-323-6848,김윤태,2017-12-31
도산안창호기념관,사립,서울특별시 강남구 도산대로 45길 20 도산공원내,,37.57490095,126.9906387,02-541-1800,사단법인,www.ahnchangho.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-541-1800,사단법인,2017-12-31
떡박물관,사립,서울특별시 종로구 돈화문로 71,,37.51375212,127.1044469,02-741-5447,최정환,www.tkmuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-741-5447,최정환,2017-12-31
