축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강릉커피축제,강릉대도호부 관아지 등,10/6/22,10/9/22,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,강릉문화재단,강원도 강릉시청,문화체육관광부+강원도청,033-647-6802,http://www.coffeefestival.net,프로그램+행사장안내 등,강원도 강릉시 임영로131번길 6 (용강동),강원도 강릉시 용강동 58-1,37.75294455,128.8919029,12/7/22,4200000,강원도 강릉시
전국생활문화축제 in강릉,강릉명주예술마당,10/27/22,10/30/22,전국 생활문화 활동 발표+기획 프로그램 등,강릉문화재단,강원도 강릉시청,지역문화진흥원,033-647-6808,,,강원도 강릉시 경강로 2021번길9-1,강원도 강릉시 명주동 49-1,37.75040333,128.8898121,12/7/22,4200000,강원도 강릉시
2022 강릉와인축제,강릉 월화거리 일원(문선빌딩 방면),12/9/22,12/11/22,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,강릉문화재단,강원도 강릉시청,강원도청,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,축제소개+사진자료 등,강원도 강릉시 경강로 2111,강원도 강릉시 임당동 106-1,37.75589225,128.8974693,12/7/22,4200000,강원도 강릉시
2022 강릉누들축제,강릉 월화거리 일원(홈플러스 방면),12/16/22,12/18/22,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",강원도 강릉시청,강원도 강릉시청,강원도 강릉시청,033-640-5130,,,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,37.75538612,128.8981649,12/7/22,4200000,강원도 강릉시
군위 삼장군단오축제,효령면 고지바위권역다목적센터 일원,6/3/22,6/3/22,단오축제,군위문화원,군위문화원,대구광역시청+대구광역시 군위군청,054-380-6866,,,대구광역시 군위군 효령면 장군당 1길 24-6,대구광역시 군위군 효령면 장군리 116-3,,,7/13/23,5140000,경상북도 군위군
김수환추기경 사랑과 나눔 문화축전,김수환추기경 사랑과 나눔공원 일원,10/29/22,10/29/22,김수환추기경 문화축전,매일신문사,매일신문사,대구광역시청+대구광역시 군위군청,054-380-6065,,,대구광역시 군위군 군위읍 군위금성로 270,대구광역시 군위군 군위읍 용대리 산 66-5,,,7/13/23,5140000,경상북도 군위군
구례산수유꽃축제,산동면,3/11/23,3/19/23,산수유꽃 프로그램,구례산수유꽃축제추진위원회,구례산수유꽃축제추진위원회,전라남도 구례군청,061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,,전라남도 구례군 산동면 좌사리 831,35.318767,127.4705342,12/1/23,4870000,전라남도 구례군
2016 안양 시민축제,평촌중앙공원+삼덕공원+범계로데오,9/24/16,9/25/16,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2016 안양 아줌마축제,평촌중앙공원,5/28/16,5/29/16,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2016 제5회 안양공공예술프로젝트,안양예술공원,10/15/16,12/15/16,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,(재)안양문화예술재단,경기도 안양시,,031-687-0916,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 예술공원로 180(안양동),경기도 안양시 만안구 안양동 1351,37.419406,126.925606,4/8/24,3830000,경기도 안양시
