place_id,place_name,address,r_library,r_kidcafe,r_play,r_park,r_house
1,진관내동 생태경관보전지역,서울특별시 은평구 진관동 282-1번지 일대(북한산국립공원 북한산성 입구 주변 습지 ),0,0,0,1,0
2,안산공원,서울특별시 서대문구 홍제동 산33번지 일대,0,0,0,1,0
3,여의도공원,서울특별시 영등포구 여의공원로68(여의도동 2번지),0,0,0,1,0
4,염창공원,서울특별시 강서구 염창동 산24-1,0,0,0,1,0
5,영등포공원,서울특별시 영등포구 영등포동 582-3번지,0,0,0,1,0
6,오금공원,서울특별시 송파구 오금동 5번지 (오금근린공원 관리사무소 옆),0,0,0,1,0
7,오동공원,"서울특별시 강북구 번동, 미아동 일대",0,0,0,1,0
8,온수공원,"서울특별시 구로구 궁동, 개봉동,수궁동,온수동,오류동일대",0,0,0,1,0
9,올림픽공원,서울특별시 송파구 방이동 88번지,0,0,0,1,0
10,와룡공원,서울특별시 종로구 명륜동3가 산2-14,0,0,0,1,0
11,와우공원,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),0,0,0,1,0
12,외국인묘지공원,서울특별시 마포구 합정동 145- 8일대,0,0,0,1,0
13,용두공원,서울특별시 동대문구 용두동 34-1번지 일대,0,0,0,1,0
14,용마공원,서울특별시 중랑구 면목동 산 1-4,0,0,0,1,0
15,용산가족공원,서울특별시 용산구 서빙고로 185,0,0,0,1,0
16,용왕산근린공원,서울특별시 양천구 목동 산12-3일대,0,0,0,1,0
17,우면산,서울특별시 방배동 산92-1,0,0,0,1,0
18,우장공원,서울특별시 강서구 화곡동 산60-1,0,0,0,1,0
19,월드컵공원,서울특별시 마포구 월드컵로 243-60(성산동 390-1)일대,0,0,0,1,0
20,월천근린공원,서울특별시 도봉구 창동 28번지,0,0,0,1,0
21,인능산,서울특별시 내곡동 산12-404 일원,0,0,0,1,0
22,인왕산공원,서울특별시 종로구 옥인동 산3-1,0,0,0,1,0
23,일자산 도시자연공원,서울특별시 강동구 동남로 660(둔촌동 산 140번지) 일대,0,0,0,1,0
24,자매공원,서울특별시 영등포구 여의도동 56번지,0,0,0,1,0
25,장지공원,서울특별시 송파구 장지동 산 11번지,0,0,0,1,0
26,중랑캠핑숲,서울특별시 중랑캠핑장(중랑구 망우로 87길 110) / 중랑캠핑숲 공원관리사무소(중랑구 송림길 160),0,0,0,1,0
27,중마루공원,서울특별시 영등포구 영등포동2가 222,0,0,0,1,0
28,천마공원,서울특별시 송파구 마천동 산 1-1,0,0,0,1,0
29,천마근린공원,서울특별시 송파구 마천동 산1-1,0,0,0,1,0
30,천호공원,서울특별시 강동구 올림픽로 702(천호동360번지),0,0,0,1,0
31,청량공원,서울특별시 성북구 석관동 산 1-5일대,0,0,0,1,0
32,초안산근린공원,서울특별시 도봉구 창동 산48-4번지 일대,0,0,0,1,0
33,초안산생태공원,서울특별시 도봉구 창동 산157번지,0,0,0,1,0
34,탑골공원,서울특별시 종로구 종로2가 38-1번지,0,0,0,1,0
35,파리공원,서울특별시 양천구 목동 906 번지일대,0,0,0,1,0
36,푸른수목원,서울특별시 구로구 항동 연동로 240( 구주소 : 항동81-1) 푸른수목원관리사무소,0,0,0,1,0
37,효창공원,서울특별시 용산구 효창동 255번지 일대,0,0,0,1,0
38,훈련원공원,서울특별시 중구 을지로 227,0,0,0,1,0
39,고덕동 생태경관보전지역,서울특별시 강동구 고덕동 396일대(암사정수장~하남시계 구간의 한강수변),0,0,0,1,0
40,청계산원터골 생태경관보전지역,서울특별시 서초구 원지동 산4-38번지 일대(청계산 도시자연공원내 원터골 주변 산림),0,0,0,1,0
41,청계천하류 철새보호구역,서울특별시 고산자교 ~ 청계천 중랑천 합류부,0,0,0,1,0
42,안양천하류 철새보호구역,서울특별시 오목교 ~ 목동교 양안(목동종합운동장 옆),0,0,0,1,0
43,불암산삼육대 생태경관보전지역,서울특별시 노원구 공릉동 산223-1번지 일대(삼육대학교 뒷산 서어나무군락),0,0,0,1,0
44,창덕궁후원 생태경관보전지역,서울특별시 종로구 와룡동 2-71번지 일대(창덕궁내 옥류천 주변 산림),0,0,0,1,0
45,봉산 생태경관보전지역,서울특별시 은평구 신사동 산93-16번지 일대(봉산 도시자연공원내 팥배나무군락),0,0,0,1,0
46,인왕산 생태경관보전지역,"서울특별시 서대문구 홍제동 산1-1번지 일대, 종로구 옥인동 산3-14 일대",0,0,0,1,0
47,아차산 생태공원,서울특별시 광진구 광장동 307번지,0,0,0,1,0
48,길동자연생태공원,서울특별시 강동구 길동 3번지,0,0,0,1,0
49,여의도샛강 생태공원,서울특별시 영등포구 여의도동(서울교 ~ 여의교),0,0,0,1,0
50,강서습지생태공원,서울특별시 강서구 개화동 168-2(방화대교 하류 ~ 행주대교 상류),0,0,0,1,0
51,우면산 자연생태공원,서울특별시 서초구 우면동 산34-1,0,0,0,1,0
52,월드컵공원,서울특별시 마포구 상암동 549번지,0,0,0,1,0
53,한강밤섬 생태경관보전지역,"서울특별시 윗밤섬-영등포구 여의도동 84번지 일대, 아랫밤섬-마포구 당인동 313번지 일대",0,0,0,1,0
54,둔촌동 생태경관보전지역,서울특별시 강동구 둔촌동 212번지 일대(둔촌주공아파트 뒤편 오리나무숲),0,0,0,1,0
55,방이동 생태경관보전지역,서울특별시 송파구 방이동 443-8번지 일대(올림픽선수촌 아파트 뒤편 습지),0,0,0,1,0
56,탄천 생태경관보전지역,서울특별시 강남구~송파구 경계하천(탄천2교~대곡교),0,0,0,1,0
57,암사동 생태경관보전지역,서울특별시 강동구 암사동 624-1번지 일대(한강시민공원 광나루지구내 갈대군락),0,0,0,1,0
58,헌인릉 생태경관보전지역,서울특별시 서초구 내곡동 산13-1 일대(헌인릉내 오리나무숲),0,0,0,1,0
59,남산 생태경관보전지역,"서울특별시 중구 예장동 산5-6번지 일대(북사면 신갈나무림, 남사면 소나무숲)",0,0,0,1,0
60,간데메공원,서울특별시 동대문구 서울특별시립대로2길 59,0,0,0,1,0
61,갈산공원,서울특별시 양천구 신정동 산73-4일대,0,0,0,1,0
62,갈현근린공원,서울특별시 은평구 불광동 ,0,0,0,1,0
63,감로천생태공원,"서울특별시 금천구 독산4동 371?375, 373일대",0,0,0,1,0
64,개운산공원,"서울특별시 성북구 돈암동, 안암동 일대",0,0,0,1,0
65,개웅산공원,"서울특별시 구로구 오류동, 개봉동 일대",0,0,0,1,0
66,개화근린공원,서울특별시 방화동 산153-1,0,0,0,1,0
67,경희궁,서울특별시 종로구 새문안길 50,0,0,0,1,0
68,계남공원,서울특별시 양천구 신정동 산44-2일대,0,0,0,1,0
69,고척공원,서울특별시 구로구 고척동 산 9-14번지,0,0,0,1,0
70,관악산(호암산),서울특별시 시흥동 산93-1,0,0,0,1,0
71,관악산공원,서울특별시 관악구,0,0,0,1,0
72,광화문시민열린마당,서울특별시 종로구 세종로 76-2,0,0,0,1,0
73,구룡산,서울특별시 염곡동 산25-1,0,0,0,1,0
74,구암공원,서울특별시 강서구 허준로 5길 42(가양동 1471),0,0,0,1,0
75,구파발폭포(진관근린공원),서울특별시 은평구 진관동 393,0,0,0,1,0
76,국립현충원,서울특별시 동작구 현충로 65,0,0,0,1,0
77,궁동공원,서울특별시 서대문구 연희동 산118번지 일대,0,0,0,1,0
78,궁산공원,서울특별시 강서구 가양동 산6-4,0,0,0,1,0
79,금천체육공원,서울특별시 금천구 독산동 산118-4번지 일대,0,0,0,1,0
80,금천폭포공원,서울특별시 금천구 시흥동 937-2번지 일대,0,0,0,1,0
81,금호근린공원,서울특별시 성동구 금호동3가 1266외 1필지,0,0,0,1,0
82,길동생태공원,서울특별시 강동구 천호대로 1291(둔촌동 558),0,0,0,1,0
83,까치산공원,서울특별시 동작구 사당동 산32,0,0,0,1,0
84,꿩고개공원,서울특별시 강서구 방화동 산110,0,0,0,1,0
85,낙산공원,서울특별시 종로구 낙산길 54,0,0,0,1,0
86,남산공원,서울특별시 중구 삼일대로 231(예장동),0,0,0,1,0
87,노들텃밭,서울특별시 용산구 양녕로 445 노들텃밭 지원센터,0,0,0,1,0
88,노량진공원,서울특별시 동작구 대방동 23-176,0,0,0,1,0
89,달맞이근린공원,서울특별시 성동구 금호동4가 산27외 35필지,0,0,0,1,0
90,답십리공원,서울특별시 동대문구 답십리동  산2-9일대,0,0,0,1,0
91,대모산공원,서울특별시 강남구 개포동 산 53-22,0,0,0,1,0
92,도곡공원,서울특별시 강남구 도곡동 산31-1번지,0,0,0,1,0
93,도산공원,서울특별시 강남구 신사동 649-9,0,0,0,1,0
94,동명근린공원,서울특별시 강동구 고덕동 229일대,0,0,0,1,0
95,마로니에공원,서울특별시 종로구 동숭동 1-124,0,0,0,1,0
96,만수천공원,서울특별시 금천구 독산동 산8 일대,0,0,0,1,0
97,매화공원,서울특별시 강서구 등촌동 630-14,0,0,0,1,0
98,명일근린공원,서울특별시 강동구 상일동 135일대,0,0,0,1,0
99,문정근린공원,서울특별시 송파구 문정동 2-5번지외 1필지,0,0,0,1,0
100,발바닥공원,서울특별시 도봉구 방학3동 270-1,0,0,0,1,0
101,방화공원,서울특별시 강서구 방화동 855,0,0,0,1,0
102,배봉산공원,서울특별시 동대문구 전농동 32-20번지,0,0,0,1,0
103,백련공원,서울특별시 서대문구 홍은동 산11번지 일대,0,0,0,1,0
104,보라매공원,서울특별시 동작구 여의대방로 20길33(신대방동 395),0,0,0,1,0
105,봉산도시자연공원,서울특별시 은평구 구산동 산61,0,0,0,1,0
106,봉은공원,서울특별시 강남구 삼성동 73일대,0,0,0,1,0
107,봉제산공원,서울특별시 강서구 화곡동 산 1번지일대,0,0,0,1,0
108,봉화산공원,서울특별시 중랑구 묵동 산46-1,0,0,0,1,0
109,북서울꿈의숲,서울특별시 강북구 월계로 173,0,0,0,1,0
110,북악산공원,"서울특별시 종로구 부암동, 성북구 성북동 일대",0,0,0,1,0
111,북한산국립공원,"서울특별시 종로구 평창동, 구기동, 서대문구 홍은동, 성북구 정릉동, 성북동 일대",0,0,0,1,0
112,불광근린공원,서울특별시 은평구 불광동 산33-1 일원,0,0,0,1,0
113,불암산공원,서울특별시 노원구 중계동 일대,0,0,0,1,0
114,사육신공원,서울특별시 동작구 노량진동 152-3,0,0,0,1,0
115,사직공원,서울특별시 종로구 사직동 1-29번지,0,0,0,1,0
116,삼일공원,서울특별시 동작구 사당동 산24-17,0,0,0,1,0
117,삼청공원,서울특별시 종로구 삼청동 산2-1,0,0,0,1,0
118,상도공원,서울특별시 동작구 상도동 산75,0,0,0,1,0
119,상암근린공원,서울특별시 마포구 상암동 1693번지,0,0,0,1,0
120,샘말공원,서울특별시 관악구 대학동 산63-1일대 샘말공원,0,0,0,1,0
121,샛마을근린공원,서울특별시 강동구 구천면로 429(명일동 288번지),0,0,0,1,0
122,서대문독립공원,서울특별시 서대문구 통일로251(현저동 101번지) 일대,0,0,0,1,0
123,서서울호수공원,서울특별시 양천구 남부순환로 64길 20(신월동 149-20),0,0,0,1,0
124,서오릉도시자연공원,서울특별시 진관동 389-3일대,0,0,0,1,0
125,서울대공원,경기도 과천시 막계동 159-1,0,0,0,1,0
126,서울숲,서울특별시 성동구 뚝섬로 273(성수1가1동 685) ,0,0,0,1,0
127,서울어린이대공원,서울특별시 광진구 능동로 216,0,0,0,1,0
128,서울창포원,서울특별시 도봉구 마들로 916(도봉동 4-2),0,0,0,1,0
129,서초문화예술공원,서울특별시 서초구 양재동 200번지,0,0,0,1,0
130,선유도공원,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,0,0,0,1,0
131,성북공원,서울특별시 성북구 돈암동 606번지 일대,0,0,0,1,0
132,성수공원,서울특별시 성동구 성수2가 302-25,0,0,0,1,0
133,세운초록띠광장,서울특별시 종로구 장사동 ,0,0,0,1,0
134,세종로공원,서울특별시 종로구 세종로 80-1번지,0,0,0,1,0
135,손기정공원,서울특별시 중구 손기정로 101(만리동2가 6-1번지),0,0,0,1,0
136,솔밭공원,서울특별시 강북구 우이동 80번지 일대,0,0,0,1,0
137,송파나루공원,서울특별시 송파구 잠실동 47번지,0,0,0,1,0
