시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
JG240301,11:49.0,58:50.0,서울형 키즈카페 중구 중림점 노리몽땅,1011,서울형키즈카페,11140,중구,3010056,중림동,126.96625,37.55952,4506,서울특별시 중구 서소문로6길 16,본관 1층 (중림동),2024-04-25,02-363-2628,N,화~일,월,27,27,0세 ~ 6세,
SB240201,00:33.0,55:02.0,서울형 키즈카페 성북구 벌집어린이공원점,1011,서울형키즈카페,11290,성북구,3070144,종암동,127.036925,37.59961369,2797,서울특별시 성북구 월곡로7길 56-7,서울형 키즈카페 성북구 벌집어린이공원점 (종암동),2024-02-29,02-2241-0790,N,화~일,"월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",16,8,3세 ~ 7세,
GA240101,38:11.0,37:04.0,서울형 키즈카페 관악구 난곡동점,1011,서울형키즈카페,11620,관악구,3200169,난곡동,126.92355,37.46941,8856,서울특별시 관악구 난곡로24가길 53,2층 (신림동),2024-03-05,02-867-2846,N,화~일,"월요일. 공휴일, 근로자의날",영유아10명,영유아7명,0세 ~ 7세,
GD240101,17:45.0,36:36.0,서울형 키즈카페 강동구 성내1동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240053,성내1동,127.12248,37.52917,5398,서울특별시 강동구 성내로6길 16,2층 (성내동),2024-02-02,02-3425-9398,N,화~일,"법정공휴일, 월요일",22명(최대),22명(영유아기준),0세 ~ 6세,
DB231202,25:02.0,38:02.0,서울형 키즈카페 도봉구 창1동점(숲속유람선 뚜뚜),1011,서울형키즈카페,11320,도봉구,3090040,창1동,127.04554,37.64882,1425,서울특별시 도봉구 해등로4길 38,초안산생태공원 내 위치 (창동),2024-01-16,02-994-7456,N,화~일,"월요일, 공휴일 ",16명,11명,2세 ~ 6세,
DB231201,14:15.0,34:58.0,서울형 키즈카페 도봉구 방학1동점(오르봉내리봉),1011,서울형키즈카페,11320,도봉구,3090051,방학1동,127.0471721,37.66877512,1331,서울특별시 도봉구 마들로 656,"도봉구청사, 지하1층 (방학동)",2024-01-16,070-4190-8922,N,화~일,"월요일, 공휴일 (근로자의 날 포함)",30명,20명,2세 ~ 7세,
GD231201,39:27.0,39:30.0,서울형 키즈카페 강동구 상일2동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240040,상일동,127.17236,37.55678,5285,서울특별시 강동구 상일로12길 95,"푸르내상가 102-303 (상일동, 푸르내)",2024-01-22,02-3425-7076,N,화~일,"법정공휴일, 월요일",14명,14명(영유아기준),0세 ~ 6세,
YC231206,33:02.0,58:00.0,서울형 키즈카페 양천구 오목공원점,1011,서울형키즈카페,11470,양천구,3140039,목1동,126.87365,37.52757,7996,서울특별시 양천구 목동서로 159-4,서울형 키즈카페 양천구 오목공원점 (목동),2024-02-13,010-9508-0596,Y,화~일요일,"월요일, 공휴일, 근로자의 날",10명(아동기준),10명(아동기준),4세 ~ 9세,
SC231201,42:50.0,48:25.0,서울형 키즈카페 서초구 양재1동점(서리풀노리학교 양재1동점),1011,서울형키즈카페,11650,서초구,3210055,양재1동,127.0406593,37.47842131,6747,서울특별시 서초구 양재천로 125-10,양재공영주차장 2층 (양재동),2024-01-26,02-575-9340,N,월~토,"일요일, 근로자의 날, 법정공휴일",30명(영유아기준),24명(영유아기준),0세 ~ 6세,
YC231201,57:52.0,30:23.0,서울형 키즈카페 시립 목동점,1011,서울형키즈카페,11470,양천구,3140043,목5동,126.8837047,37.54219411,7978,서울특별시 양천구 안양천로 1131,지식산업센터 2층 (목동),2024-01-15,02-2647-7507,N,월~토,"일요일, 명절 및 공휴일",24명(5~12세),24명(6~12세),6세 ~ 12세,
