도서관 일련번호,도서관명,구 코드,구명,주소,전화번호,홈페이지 URL,운영시간,정기 휴관일,도서관 구분,도서관 구분명,위도,경도
2413,BIBLIOTECA,8,강남구,서울특별시 강남구 도산대로 25길 15-4 1층,,,휴관중,휴관중,2,작은도서관,37.5207695,127.0245651
1571,LH강남3단지작은도서관,8,강남구,서울특별시 강남구 자곡로3길 22 ,02-459-8700,,휴관중,휴관중,2,작은도서관,37.46997231,127.0910208
1372,신일도서관,20,중랑구,서울특별시 중랑구 상봉로20길 77 신일교회 1층,02-6407-6355,,휴관중,휴관중,2,작은도서관,37.5946307,127.0975192
1848,休+밤토리SH작은도서관,8,강남구,"서울특별시 강남구 밤고개로26길 50(율현동, 강남한신휴플러스6단지)",02-2226-7942,http://cafe.naver.com/segok2love,"화,수,목,금 : 10:00~12:00","매주 월요일, 토요일",2,작은도서관,37.47054284,127.1137731
250,꿈마을도서관,5,관악구,서울특별시 관악구 중앙2길 16 2층,02-886-3196,,"평일 : 10:00~18:00, 주말 : 10:00~16:00","일요일, 공휴일",2,작은도서관,37.48449792,126.9539886
1283,중곡교회작은도서관,24,광진구,서울특별시 광진구 긴고랑로 36길 56 중곡교회 지층 지하1층,02-452-4985,,화~토 : 11:00~17:00,"월,일요일",2,작은도서관,37.55696219,127.0909499
1297,큐브북카페,25,구로구,"서울특별시 구로구 경인로 662, B동 30층 (디큐브시티) ",02-3667-9001,,휴관중,휴관중,2,작은도서관,37.50882112,126.8892779
2463,와서작은도서관,6,금천구,서울특별시 벚꽃로56길 62 B01,02-859-2414,,"평일 : 14:00~17:00, 주말 : 휴관일","토,일,법정공휴일",2,작은도서관,37.46494502,126.8940183
2771,강남데시앙파크작은도서관,8,강남구,서울특별시 강남구 헌릉로590길 63 데시앙파크도서관,02-451-7070,,휴관중,휴관중,2,작은도서관,37.46104654,127.1015409
1845,강남한신휴플러스8단지작은도서관,8,강남구,"서울특별시 강남구 밤고개로27길 20(율현동, 강남한신휴플러스8단지) ",02-445-9831,,휴관중,휴관중,2,작은도서관,37.46971323,127.1130164
1572,강남한양수자인작은씨앗도서관,8,강남구,서울특별시 강남구 자곡로 260,,cafe.naver.com/sujainbook,평일 : 10:00~18:00,"토,일요일, 법정공휴일",2,작은도서관,37.47586067,127.1134903
114,개포4동작은도서관,8,강남구,서울특별시 강남구 개포로38길 12 개포4동주민센터 ,02-3423-7884,https://library.gangnam.go.kr/small,평일 : 09:00~17:30,"토,일요일, 법정공휴일",2,작은도서관,37.47882622,127.0516625
1573,꿈꾸는작은도서관,8,강남구,서울특별시 강남구 자곡로3길 21 ,02-445-0955,,"평일 : 11:00~18:00, 토:1200~17:00",일요일,2,작은도서관,37.47176041,127.0881053
1574,꿈밭작은도서관,8,강남구,서울특별시 강남구 자곡로 204-19 2층,02-3462-9962,,"평일, 주말: 10:00~17:00(상시운영) ",,2,작은도서관,37.47375667,127.104168
2145,남서울중앙교회작은도서관,8,강남구,서울특별시 강남구 삼성로 40(개포동) 1층,02-3411-9191,www.nsca.or.kr,"평일 : 11:00~18:00, 토 : 12:00~16:00, 일 : 10:00~18:00",,2,작은도서관,37.48894236,127.0666071
50,논현정보도서관,8,강남구,서울특별시 강남구 학동로 169 3층,02-511-7466,https://library.gangnam.go.kr/nhilib/index.do,"평일 : 09:00~18:00, 토요일 : 09:00~17시","일요일, 법정공휴일",2,작은도서관,37.51386514,127.0293218
1542,다움영어도서관,8,강남구,서울특별시 강남구 개포로 124길 7 다움영어 작은도서관,02-445-0714,cafe.daum.net/daoomeli,평일 : 13:00~19:00,"토,일요일, 법정공휴일",2,작은도서관,37.49412282,127.0828777
1259,대치1동작은도서관,8,강남구,서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층,02-3452-1170,https://library.gangnam.go.kr/dch1lib/index.do,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",2,작은도서관,37.49324594,127.0567758
1545,데시앙숲속작은도서관,8,강남구,서울특별시 강남구 광평로 34길 55 강남데시앙포레아파트,02-445-4301,,"월,수,금 17:00~21:00","주말, 법정공휴일",2,작은도서관,37.48085608,127.0921723
116,도곡2동작은도서관,8,강남구,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ,02-3423-7584,https://library.gangnam.go.kr/small,평일 : 09:00~17:00,"토,일요일, 법정공휴일",2,작은도서관,37.48372309,127.0464069
1575,래미안포레작은도서관,8,강남구,서울특별시 강남구 밤고개로 21길 25 ,02-3414-0919,,"화,수,목,금 : 10:00~12:00","일요일, 법정공휴일",2,작은도서관,37.47504703,127.1076438
2146,루디아영어어린이도서관,8,강남구,"서울특별시 강남구 헌릉로 569, 802호(세곡동) 강남리더스빌딩 802호",070-7092-8315  ,,휴관중,휴관중,2,작은도서관,37.46575726,127.1012262
1576,브리즈힐도서관,8,강남구,서울특별시 강남구 자곡로 3길 45,02-445-3062,,휴관중,휴관중,2,작은도서관,37.47222456,127.0906848
2415,사피엔스 작은도서관,8,강남구,서울특별시 강남구 삼성로 720 청담동천주교회,02-3447-0750,http://cafe.daum.net/nazarethlibrary,"화, 수, 목, 금, 토, 일 : 10:00~22:00",월요일,2,작은도서관,37.5203668,127.0478323
1543,삼성도서관,8,강남구,서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층,02-568-9984,https://library.gangnam.go.kr/sslib/index.do,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 화요일, 법정공휴일",2,작은도서관,37.51435272,127.0626058
1256,세곡도서관,8,강남구,서울특별시 강남구 밤고개로 286 세곡동주민센터,02-445-0297,https://library.gangnam.go.kr/sklib/index.do,"평일 : 09:00~21:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",2,작은도서관,37.4690517,127.1069139
2417,세곡리엔파크1단지아파트 SH도서관,8,강남구,"서울특별시 강남구 헌릉로 590길 100, 관리동2층(세곡동) ",02-445-9441,,휴관중,휴관중,2,작은도서관,37.4640671,127.0984192
2650,세곡마루도서관,8,강남구,서울특별시 강남구 헌릉로 590길 68 세곡커뮤니티센터 2층,02-2176-0634,https://library.gangnam.go.kr/segokmarulib/index.do,"평일 : 09:00~18:00, 토요일 : 09:00~17:00",일요일 및 법정공휴일,2,작은도서관,37.46103847,127.1027375
121,수서동작은도서관,8,강남구,서울특별시 강남구 광평로 301-4 수서동주민센터 ,02-3423-8584,https://library.gangnam.go.kr/small,평일 : 10:00~17:00,"토,일요일, 법정공휴일",2,작은도서관,37.48890342,127.1049909
2772,숲도서관,8,강남구,서울특별시 강남구 개포로264,02-2058-0929,,평일 : 10:00~13:00,주말,2,작은도서관,37.47975035,127.0522282
119,신사동작은도서관,8,강남구,서울특별시 강남구 압구정로 128 신사동주민센터 ,02-3423-7334,https://library.gangnam.go.kr/small,평일 : 10:00~17:00,"토,일요일, 법정공휴일",2,작은도서관,37.52397487,127.0227972
1578,아름다운도서관,8,강남구,서울특별시 강남구 삼성로70길 4 지하1층,070-5135-1385,,"평일 : 13:0~21:00, 토요일 : 09:00~18:00","일요일, 법정공휴일",2,작은도서관,37.50202285,127.059744
120,압구정동작은도서관,8,강남구,서울특별시 강남구 압구정로33길 48 압구정동주민센터,02-3423-7634,https://library.gangnam.go.kr/small,평일 : 09:00~18:00,"토,일요일, 법정공휴일",2,작은도서관,37.53061779,127.0306528
117,역삼2동작은도서관,8,강남구,서울특별시 강남구 언주로 314 강남프라자 2층,02-567-0930,https://library.gangnam.go.kr/ys2lib/index.do,"평일 : 09:00~18:00, 토요일 : 09:00~17:00","일요일, 법정공휴일",2,작은도서관,37.49588839,127.046474
2649,영롱 농문화 도서관,8,강남구,서울특별시 강남구 양재대로 55길 6(일원동) 수서1단지 아파트 상가 204호,,,"월, 화, 수, 금 : 10:30~17:30",,2,작은도서관,37.49132099,127.0883142
1580,이편한세상도서관,8,강남구,서울특별시 강남구 헌릉로 571길 20 ,02-3411-9245,,휴관중,휴관중,2,작은도서관,37.46574983,127.1030362
1570,일원1동작은도서관,8,강남구,서울특별시 강남구 양재대로55길 14 일원1동 주민센터,02-3423-8384,https://library.gangnam.go.kr/small,평일 : 10:00~18:00,"토,일요일, 법정공휴일",2,작은도서관,37.49184926,127.0880233
118,일원본동작은도서관,8,강남구,서울특별시 강남구 광평로 126 일원본동주민센터 ,02-3423-8284,https://library.gangnam.go.kr/small,평일 : 10:00~18:00,"토,일요일, 법정공휴일",2,작은도서관,37.48337783,127.0864821
2773,작은서관,8,강남구,서울특별시 강남구 영동대로 22 디에이치자이개포생활지원센터,,,"평일 : 09:00~18:00, 토요일 : 09:00~17:00",주말,2,작은도서관,37.49109411,127.074164
1544,푸르지오책사랑,8,강남구,서울특별시 강남구 자곡로 21 세곡LH푸르지오 아파트,070-8766-4219,https://www.smalllibrary.org/library/detail/1046565,평일 : 13:00~22:00,"주말, 법정공휴일",2,작은도서관,37.4662566,127.0923733
2419,피치서가,8,강남구,서울특별시 강남구 논현로 168길 39 2층,02-3789-0419,,평일 : 09:00~17:00,"주말, 법정공휴일",2,작은도서관,37.5232559,127.0293329
2420,하음작은도서관,8,강남구,서울특별시 강남구 개포로25길 5 B1,02-577-4874,,"월, 화 : 13:0~18:00, 수 : 15:00~21:00,  목 : 13:00~18:00, 금 : 16:00~22:00, 토, 일 : 9:00~15:00",,2,작은도서관,37.4792226,127.045865
2421,힐즈도서관,8,강남구,서울특별시 강남구 자곡로 101 강남힐즈아파트,02-3414-0400,,매일 07:00~22:00,,2,작은도서관,37.4724452,127.0958153
2778,SH 숨터작은도서관,10,강동구,"서울특별시 강동구 아리수로93가길 77(강일동, 강동리버스트6단지)",,,,,2,작은도서관,37.56973609,127.1715778
146,가람슬기작은도서관,10,강동구,"서울특별시 강동구 강동대로53길 76, (성내동) 성내3동주민센터 1층",02-474-4030,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.52604274,127.1328841
1262,강동육아누리도서관,10,강동구,서울특별시 강동구 상암로 168 강동구민회관 2층 2층,02-487-3516,,"평일 : 09:00~18:00, 주말 : 09:00~17:00",일요일,2,작은도서관,37.54573146,127.1412226
2819,강빛 은하수 작은도서관,10,강동구,"서울특별시 강동구 아리수로 93나길 88, 808동",,,,,2,작은도서관,37.57172229,127.1748049
2008,강일1단지작은도서관,10,강동구,서울특별시 강동구 아리수로 93가길25 관리동 2층,02-427-0051,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.56787986,127.1726055
128,강일리버파크6단지책향기작은도서관,10,강동구,서울특별시 강동구 아리수로94길 19 강일리버파크6단지아파트 관리사무소 2층 ,02-426-6649,,"평일 : 13:00~17:00, 주말 : 휴관일","매주 토요일,일요일",2,작은도서관,37.5636621,127.1760796
133,게냇골작은도서관,10,강동구,서울특별시 강동구 구천면로 633(상일동) 상일동 주민센터 2층 ,02-428-7041,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.55058375,127.1683004
1558,고덕리엔파크3단지SH작은도서관,10,강동구,서울특별시 강동구 상일로 74 고덕리엔파크3단지아파트 315동 1층 ,070-4234-0490,,"평일 : 12:00~16:00, 주말 : 13:00~17:00",매주 화요일,2,작은도서관,37.55327315,127.176167
144,글고운작은도서관,10,강동구,"서울특별시 강동구 성내로 13, 2층(성내동) 성내1동 주민센터 1층",02-475-5156,,"평일 : 10:00~16:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53047266,127.1224554
137,글마루작은도서관,10,강동구,"서울특별시 강동구 아리수로78길 43-12, 2층(고덕동) 고덕2동주민센터 2층",070-8153-0560,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.56474145,127.1624637
140,글익는작은도서관,10,강동구,"서울특별시 강동구 고덕로 137, 3층(암사동) 암사3동주민센터 3층",02-428-1643,,"평일 : 13:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.56262355,127.1384359
141,글향기작은도서관,10,강동구,"서울특별시 강동구 구천면로42길 59, 2층(천호동) 천호1동주민센터 2층",02-470-3613,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.55042474,127.1397249
2651,꿈누리작은도서관,10,강동구,서울특별시 강동구 동남로 83길 87(고덕동) 1층,02-426-9469,,월~토 : 09:00~21:00,"일, 법정공휴일",2,작은도서관,37.55909271,127.1522758
1560,늘솔길작은도서관,10,강동구,"서울특별시 강동구 양재대로156길 123, 5층(고덕동) 고덕1동주민센터 5층",02-429-0423,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.56446543,127.1615646
2002,다온북카페작은도서관,10,강동구,"강동구 양재대로 124길 25, 301호(길동)",,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.54301399,127.143545
2777,더숲작은도서관,10,강동구,서울특별시 강동구 풍성로35길 19,,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.53300748,127.1248436
134,도담도담북카페,10,강동구,"서울특별시 강동구 양재대로138길 37, 1층(명일동) 명일1동주민센터 1층",02-427-2152,,휴관중,휴관중,2,작은도서관,37.55462967,127.1490347
2750,도로롱 작은도서관,10,강동구,서울특별시 강동구 고덕로98길 160 강동리엔파크 14단지 1401동 1층,,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.55109004,127.1808371
2653,또바기작은도서관,10,강동구,서울특별시 강동구 아리수로98길 25(강일동) 2층,02-3427-0007,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.56527657,127.178359
2007,래미안힐스테이트고덕작은도서관,10,강동구,서울특별시 강동구 아리수로 50길 50 304동 1층,070-4640-4583,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.5583596,127.151086
1263,롯데캐슬도서관,10,강동구,서울특별시 강동구 고덕로 131 강동롯데캐슬퍼스트아파트 관리동 지하1층 ,070-8702-1899,,"평일 : 09:00~17:00, 주말 : 09:00~17:30","매주 월요일,일요일",2,작은도서관,37.55639905,127.1401469
2422,루르드의작은도서관,10,강동구,서울특별시 강동구 고덕로 476 1층,02-442-1244,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.5578016,127.1764168
